id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
DURYER_CLEOMEDON_1636,"DU RYER, Pierre","CLÉOMÉDON, TRAGI-COMÉDIE.",1636,Tragi-comédie,Astrée,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k57496902
DURYER_LUCRECE_1638,"DU RYER, Pierre",LUCRÈCE. TRAGÉDIE,1638,Tragédie,histoire romaine,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k71839w
DURYER_CLARIGENE_1639,"DU RYER, Pierre","CLARIGÈNE, TRAGICOMÉDIE.",1639,Tragi-comédie,bible,Cinq actes,vers,1631-1640,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k71577
DURYER_ALCIONEE_1640,"DU RYER, Pierre","ALCIONÉE ou LE COMBAT de L'HONNEUR et de L'AMOUR, TRAGÉDIE",1640,Tragédie,mythe grec,Cinq actes,vers,1631-1640,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k71578z
DURYER_SAUL_1642,"DU RYER, Pierre","SAÜL, TRAGÉDIE.",1642,Tragédie,bible,Cinq actes,vers,1641-1650,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k71195f
DURYER_ESTHER_1644,"DU RYER, Pierre","ESTHER, TRAGÉDIE.",1644,Tragédie,bible,Cinq actes,vers,1641-1650,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k71601n
DURYER_SCEVOLE_1647,"DU RYER, Pierre","SCÉVOLE, TRAGÉDIE.",1647,Tragédie,histoire romaine,Cinq actes,vers,1641-1650,1500-1750,http://gallica.bnf.fr/ark:/12148/bpt6k71575x
DURYER_THEMISTOCLE_1648,"DU RYER, Pierre","THÉMISTOCLE, TRAGÉDIE.",1648,Tragédie,histoire grecque,Cinq actes,vers,1641-1650,2000-2250,http://gallica.bnf.fr/ark:/12148/bpt6k715768
DURYER_NITOCRIS_1650,"DU RYER, Pierre","NITOCRIS, REINE DE BABYLONE. TRAGI-COMÉDIE",1650,Tragi-comédie,histoire romaine,Cinq actes,vers,1641-1650,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k83833h
DURYER_DYNAMIS_1653,"DU RYER, Pierre","DYNAMIS, REINE DE CARIE. TRAGI-COMÉDIE",1653,Tragi-comédie,moeurs françaises,Cinq actes,vers,1651-1660,1750-2000,http://gallica.bnf.fr/ark:/12148/bpt6k111551b
